duration,protocol_type,service,flag,src_bytes,dst_bytes,logged_in,num_failed_logins,root_shell,su_attempted,num_file_creations,num_access_files,same_srv_rate,diff_srv_rate,attack_type
2005,EHR,patient_records,SF,7379,1720,1,1,0,0,18,64,0.63,0.98,unauthorized_access
426,PACS,patient_records,REJ,8830,1701,1,2,0,1,12,64,0.56,0.39,credential_sharing
2252,HL7_API,billing,S0,3458,7693,0,3,0,1,17,10,0.15,0.52,unauthorized_access
469,PACS,radiology,REJ,8226,2428,0,0,0,0,9,44,0.06,0.4,normal
3026,PACS,prescriptions,REJ,544,3837,0,4,0,1,15,41,0.27,0.29,data_modification
2101,HL7_API,prescriptions,SF,3456,1262,1,4,1,0,5,73,0.65,0.4,audit_log_tampering
1188,EHR,patient_records,SF,2042,1139,1,5,1,0,0,69,0.34,0.65,credential_sharing
372,EHR,prescriptions,SF,3351,1119,1,4,1,0,0,37,0.26,0.83,unauthorized_access
1420,PACS,lab_results,SF,710,5217,0,1,0,0,3,42,0.92,0.95,normal
1088,EHR,radiology,REJ,1621,448,1,2,0,1,1,1,0.88,0.19,policy_violation
1508,HL7_API,lab_results,SF,8669,3052,0,4,0,1,14,98,0.59,0.9,credential_sharing
1370,PACS,prescriptions,REJ,2717,5341,0,3,1,0,3,66,0.02,0.99,privilege_misuse
2235,HL7_API,prescriptions,S0,3535,2282,1,0,0,0,1,42,0.25,0.44,normal
2319,HL7_API,billing,S0,5919,3854,1,3,1,0,4,9,0.55,0.4,insider_data_leakage
851,HL7_API,patient_records,REJ,5338,1984,0,5,1,0,8,31,0.5,0.54,credential_sharing
2264,HL7_API,lab_results,SF,1142,26,0,5,1,0,0,79,0.95,0.18,audit_log_tampering
1255,PACS,billing,SF,2073,4990,1,3,0,1,10,39,0.75,0.15,credential_sharing
883,HL7_API,billing,SF,1119,7805,1,1,1,0,14,51,0.38,0.64,credential_sharing
414,EHR,billing,REJ,1209,2579,1,5,1,0,15,13,0.94,0.89,data_modification
397,PACS,radiology,SF,5999,6977,0,3,1,0,6,62,0.04,0.65,credential_sharing
3472,PACS,lab_results,S0,9672,2407,0,1,0,1,2,75,0.63,0.82,credential_sharing
2690,HL7_API,radiology,REJ,7827,591,1,2,0,0,5,19,0.85,0.71,audit_log_tampering
2127,PACS,patient_records,SF,4309,6108,1,5,1,0,10,60,0.04,0.12,data_modification
3127,PACS,prescriptions,S0,2183,6703,1,1,0,0,8,2,0.02,0.3,normal
763,EHR,lab_results,REJ,1491,7336,0,2,0,0,5,29,0.97,0.53,audit_log_tampering
335,PACS,billing,REJ,5025,4989,0,2,1,0,15,88,0.17,0.26,credential_sharing
225,EHR,billing,SF,6336,517,0,2,0,0,14,63,0.32,0.83,privilege_misuse
1513,EHR,radiology,S0,4292,4051,0,3,1,0,1,66,0.11,0.08,policy_violation
835,EHR,lab_results,REJ,9951,5935,1,1,0,0,10,63,0.52,0.65,normal
758,PACS,billing,S0,7010,6921,1,2,0,1,13,61,0.9,0.33,audit_log_tampering
3025,PACS,lab_results,REJ,5969,5058,1,5,0,0,15,89,0.34,0.15,audit_log_tampering
2655,PACS,lab_results,S0,8478,7926,1,5,1,1,14,90,0.79,0.88,policy_violation
1324,HL7_API,lab_results,REJ,9699,5545,0,5,1,0,9,64,0.53,0.31,unauthorized_access
636,EHR,billing,SF,3944,4529,1,5,1,0,13,36,0.1,0.83,insider_data_leakage
1049,EHR,lab_results,REJ,1397,2576,0,1,0,0,0,85,0.58,0.59,normal
2824,EHR,radiology,REJ,1637,1727,1,3,1,0,15,82,0.42,0.17,data_modification
372,PACS,prescriptions,REJ,5674,4399,0,4,0,1,8,84,0.45,0.25,policy_violation
3223,EHR,patient_records,SF,4371,6843,0,5,1,1,16,90,0.15,0.68,audit_log_tampering
1862,EHR,patient_records,REJ,3094,6093,1,1,0,0,7,98,0.3,0.33,normal
1935,EHR,lab_results,REJ,7355,419,1,1,0,0,2,47,0.66,0.23,audit_log_tampering
3321,PACS,radiology,SF,5986,4915,1,1,1,1,8,85,0.96,0.25,policy_violation
3409,PACS,billing,SF,2525,1874,0,5,0,1,14,81,0.05,0.17,audit_log_tampering
516,PACS,radiology,REJ,5193,2876,0,5,1,0,7,24,0.73,0.86,credential_sharing
2559,PACS,prescriptions,SF,6139,5472,0,4,0,0,12,96,0.39,0.16,data_modification
2907,HL7_API,lab_results,REJ,2643,3447,0,1,0,0,4,64,0.04,0.68,unauthorized_access
633,EHR,lab_results,REJ,2379,3827,1,1,0,0,16,92,0.62,0.13,insider_data_leakage
1878,EHR,patient_records,S0,7916,1021,1,5,1,0,7,48,0.05,0.69,credential_sharing
1981,PACS,prescriptions,SF,6108,1010,0,1,1,0,6,85,0.03,0.14,insider_data_leakage
508,PACS,radiology,REJ,7505,6431,0,1,1,0,6,5,0.43,0.69,policy_violation
3144,PACS,patient_records,SF,1547,3795,1,1,0,0,6,52,0.17,0.62,normal
3373,EHR,patient_records,S0,8255,7179,0,4,0,0,5,94,0.66,0.87,privilege_misuse
599,EHR,patient_records,S0,9745,2922,0,4,1,0,8,61,0.63,0.26,unauthorized_access
1756,HL7_API,prescriptions,SF,3687,7499,0,1,1,1,0,61,0.53,0.94,privilege_misuse
1873,PACS,lab_results,SF,595,4487,1,1,0,1,5,7,0.54,0.21,policy_violation
675,PACS,billing,REJ,1788,4836,1,3,0,1,14,24,0.26,0.31,unauthorized_access
852,PACS,lab_results,REJ,5431,5756,1,1,1,0,9,39,0.56,0.8,data_modification
3109,PACS,radiology,SF,8394,4499,0,5,0,0,6,80,0.15,0.87,privilege_misuse
838,EHR,prescriptions,REJ,1101,838,1,1,0,0,3,73,0.57,0.83,normal
3087,HL7_API,patient_records,REJ,7437,6662,1,2,1,0,3,72,0.58,0.57,audit_log_tampering
233,PACS,prescriptions,REJ,1746,197,1,1,0,0,0,81,0.25,0.71,normal
2873,PACS,lab_results,S0,715,3032,0,0,0,0,14,46,0.79,0.77,normal
576,PACS,lab_results,S0,5715,5131,1,0,0,0,15,38,0.43,0.21,normal
2716,PACS,prescriptions,S0,7583,1462,0,5,0,1,17,17,0.44,0.01,insider_data_leakage
1811,EHR,prescriptions,REJ,1530,6290,1,4,0,0,5,95,0.43,0.32,unauthorized_access
1096,EHR,lab_results,SF,8508,588,1,3,1,0,12,95,0.66,0.0,policy_violation
627,PACS,lab_results,S0,1799,2816,0,1,0,0,12,19,0.0,0.59,normal
3045,PACS,radiology,S0,771,16,0,1,0,1,5,5,0.48,0.41,audit_log_tampering
396,HL7_API,radiology,S0,7735,2640,0,4,0,1,9,29,0.14,0.3,policy_violation
2958,PACS,lab_results,S0,9919,3240,0,2,0,0,9,66,0.79,0.79,policy_violation
1964,PACS,prescriptions,REJ,2795,4538,1,0,0,0,6,9,0.46,0.1,normal
1898,EHR,radiology,SF,2822,4275,1,4,1,1,0,42,0.88,0.84,policy_violation
2217,EHR,radiology,SF,8872,2870,0,5,1,1,6,22,0.07,0.13,policy_violation
1003,PACS,radiology,SF,3152,6099,1,1,1,0,3,41,0.65,0.13,privilege_misuse
1315,EHR,prescriptions,SF,7794,1298,0,2,1,1,1,59,0.84,0.74,privilege_misuse
1222,EHR,radiology,REJ,5602,2837,1,5,1,0,5,87,0.41,0.17,unauthorized_access
2701,PACS,lab_results,S0,9919,1637,1,1,0,1,1,80,0.29,0.03,unauthorized_access
659,HL7_API,patient_records,S0,3155,7844,1,1,0,0,9,92,0.27,0.55,unauthorized_access
1176,HL7_API,radiology,S0,9308,4933,1,4,0,1,6,50,0.85,0.71,data_modification
1610,PACS,patient_records,REJ,4212,4820,1,4,1,1,12,59,0.13,0.45,unauthorized_access
1593,PACS,patient_records,REJ,3495,6399,1,2,0,1,17,9,0.2,0.71,insider_data_leakage
386,PACS,lab_results,S0,7541,3887,1,5,1,1,14,60,0.94,0.52,credential_sharing
3437,HL7_API,billing,REJ,8441,2140,0,2,1,1,3,67,0.98,0.09,policy_violation
186,PACS,patient_records,SF,7741,6264,1,0,0,0,6,71,0.78,0.97,normal
2498,EHR,prescriptions,REJ,4891,2672,1,4,0,0,9,72,0.55,0.07,credential_sharing
1502,HL7_API,radiology,REJ,468,4887,1,4,0,1,15,30,0.01,0.11,privilege_misuse
1534,EHR,billing,SF,1990,3346,0,2,0,0,15,57,0.61,0.39,audit_log_tampering
2341,PACS,prescriptions,SF,1934,2808,0,3,1,0,8,4,0.34,0.54,privilege_misuse
2492,HL7_API,prescriptions,SF,2967,4142,1,4,1,1,5,56,0.3,0.1,credential_sharing
1594,PACS,billing,S0,2359,6706,1,1,0,0,16,78,0.81,0.99,privilege_misuse
768,EHR,lab_results,SF,8407,1602,1,3,0,1,0,15,0.8,0.83,privilege_misuse
2559,PACS,billing,S0,792,5602,1,4,0,1,13,44,0.39,0.4,data_modification
685,PACS,prescriptions,SF,3085,895,1,1,0,1,18,37,0.63,0.28,credential_sharing
1429,PACS,patient_records,SF,1395,1391,0,5,1,1,11,10,0.11,0.97,unauthorized_access
2024,EHR,lab_results,REJ,7930,1807,1,5,0,0,12,41,0.84,0.47,credential_sharing
2209,HL7_API,prescriptions,SF,9555,1216,0,0,0,0,19,25,0.36,0.44,normal
1619,EHR,prescriptions,REJ,8974,150,0,2,1,1,11,56,0.92,0.73,credential_sharing
3307,PACS,billing,REJ,4406,2996,0,0,0,0,15,66,0.24,0.9,normal
315,HL7_API,lab_results,S0,6897,6431,1,1,0,0,2,58,0.27,0.54,audit_log_tampering
2390,EHR,billing,REJ,8291,6270,1,3,0,1,16,63,0.67,0.64,data_modification
2014,HL7_API,prescriptions,SF,9755,7162,0,1,1,0,2,9,0.89,0.13,unauthorized_access
1389,EHR,billing,SF,2593,6653,1,4,0,0,14,54,0.4,0.65,credential_sharing
1707,PACS,lab_results,S0,6997,7880,1,2,1,1,12,29,0.36,0.03,insider_data_leakage
413,HL7_API,radiology,S0,4245,290,1,1,0,0,10,48,0.63,0.03,normal
565,EHR,prescriptions,S0,8728,5321,1,2,1,1,20,34,0.49,0.06,insider_data_leakage
787,PACS,radiology,REJ,2740,2063,1,4,1,0,15,2,0.93,0.55,audit_log_tampering
3547,EHR,patient_records,SF,4003,253,0,1,0,0,16,23,0.66,0.06,normal
2239,PACS,billing,SF,5779,3303,1,2,0,0,1,78,0.85,0.12,privilege_misuse
2896,PACS,prescriptions,S0,3623,3224,1,1,0,0,15,70,0.4,0.27,normal
2612,EHR,billing,REJ,5235,7391,1,3,0,1,0,82,0.11,0.26,credential_sharing
1306,EHR,radiology,SF,5540,1452,0,5,0,0,2,22,0.49,0.59,credential_sharing
1771,EHR,prescriptions,REJ,5817,5379,0,2,0,0,11,38,0.84,0.85,unauthorized_access
1852,PACS,lab_results,SF,7460,3145,0,5,0,1,4,99,0.91,0.06,credential_sharing
3332,PACS,patient_records,S0,9060,7674,0,2,1,0,1,66,0.68,0.32,insider_data_leakage
1481,PACS,billing,SF,8448,2090,1,4,1,0,17,23,0.7,0.28,unauthorized_access
2810,HL7_API,patient_records,SF,4113,6439,1,4,0,0,0,96,0.85,0.83,privilege_misuse
1528,HL7_API,prescriptions,S0,1454,2369,1,1,0,0,12,13,0.8,0.09,normal
3008,EHR,prescriptions,S0,4275,2358,1,2,1,0,15,76,0.86,0.11,audit_log_tampering
860,EHR,prescriptions,S0,6300,2655,0,1,1,0,7,89,0.36,0.18,credential_sharing
1830,EHR,radiology,S0,7173,3674,0,4,1,1,10,25,0.31,0.85,credential_sharing
1325,EHR,lab_results,SF,8029,4320,0,3,1,0,11,98,0.26,0.18,insider_data_leakage
2889,PACS,lab_results,SF,9759,5261,1,1,0,0,12,21,0.72,0.39,privilege_misuse
2627,PACS,billing,SF,8098,5714,0,4,1,0,18,27,0.93,0.29,unauthorized_access
1359,EHR,lab_results,SF,4118,3416,1,1,0,0,16,48,0.88,0.06,normal
322,PACS,billing,S0,5799,6551,1,2,0,1,11,14,0.78,0.95,privilege_misuse
69,HL7_API,prescriptions,REJ,7449,3694,1,1,1,1,15,91,0.13,0.74,audit_log_tampering
1654,EHR,patient_records,S0,463,2483,0,2,1,1,10,8,0.93,0.04,credential_sharing
1647,EHR,billing,REJ,5540,2442,0,4,0,1,18,7,0.8,0.9,audit_log_tampering
1777,EHR,patient_records,SF,6507,6833,0,0,0,0,10,88,0.64,0.37,normal
590,EHR,prescriptions,SF,5137,575,1,2,1,0,1,18,0.25,0.44,data_modification
2910,PACS,prescriptions,REJ,7776,2215,0,2,1,1,15,71,0.21,0.5,insider_data_leakage
2491,PACS,radiology,REJ,5573,3324,1,1,0,0,5,21,0.03,0.91,privilege_misuse
2851,HL7_API,lab_results,REJ,1390,6969,0,5,0,1,18,44,0.5,0.7,policy_violation
2094,PACS,radiology,S0,5360,5355,0,4,0,0,5,27,0.15,0.21,data_modification
1864,PACS,billing,S0,515,4845,0,2,1,1,16,89,0.69,0.33,unauthorized_access
875,HL7_API,patient_records,SF,397,6389,0,3,0,1,14,74,0.25,0.68,audit_log_tampering
3443,EHR,billing,S0,450,4361,0,3,1,1,1,97,0.65,0.63,audit_log_tampering
1416,PACS,lab_results,REJ,8642,4661,0,4,0,0,3,22,0.73,0.71,data_modification
2383,PACS,radiology,REJ,5931,5111,0,3,0,0,13,21,0.45,0.15,audit_log_tampering
277,HL7_API,lab_results,SF,9097,3825,0,1,1,1,15,78,0.08,0.98,policy_violation
3167,EHR,patient_records,REJ,9778,4026,0,3,1,0,20,99,0.27,0.45,data_modification
1036,HL7_API,prescriptions,SF,5630,4460,1,1,0,0,1,88,0.74,0.94,normal
761,EHR,radiology,SF,3568,3419,1,5,0,1,9,79,0.22,0.39,privilege_misuse
3137,HL7_API,billing,SF,1459,45,1,3,0,1,20,31,0.0,0.91,audit_log_tampering
1207,PACS,billing,SF,4721,2476,0,4,1,0,14,86,0.0,0.47,privilege_misuse
836,PACS,radiology,SF,5349,1814,0,3,1,0,19,38,0.43,0.9,policy_violation
2515,EHR,prescriptions,SF,9615,4857,0,2,0,0,4,58,0.54,0.02,insider_data_leakage
916,EHR,lab_results,S0,4166,3101,0,1,1,1,5,56,0.56,0.19,audit_log_tampering
2964,EHR,radiology,S0,7559,6810,0,1,0,0,7,83,0.16,0.13,normal
2645,PACS,prescriptions,REJ,398,3859,1,1,0,0,1,51,0.06,0.08,normal
2656,EHR,patient_records,SF,8188,1225,1,1,0,0,20,82,0.2,0.64,normal
2330,EHR,radiology,REJ,4154,2357,0,1,0,0,7,94,0.49,0.71,normal
1277,EHR,billing,S0,9826,5529,0,4,0,0,7,20,0.88,0.11,credential_sharing
166,PACS,radiology,S0,8814,6209,0,4,1,0,12,61,0.05,0.74,data_modification
2343,EHR,lab_results,REJ,4949,63,0,1,0,1,18,56,0.8,0.68,data_modification
