feature,importance
TOTAL_PRIVILEGE_ATTEMPTS,0.46185602334194353
NUM_FAILED_LOGINS,0.29613114939265034
ROOT_SHELL,0.04159743644099427
SU_ATTEMPTED,0.031204406208516212
SAME_SRV_RATE,0.022484075135720052
DURATION,0.022178092480906814
SRC_BYTES,0.021862860639266582
DST_BYTES,0.021235806599960404
TOTAL_BYTES_TRANSFERRED,0.020675900937656467
NUM_ACCESS_FILES,0.020014533286253747
DIFF_SRV_RATE,0.01985244341478103
NUM_FILE_CREATIONS,0.01603317357000995
LOGGED_IN,0.002686794365670444
FLAG_RISK_SCORE,0.0021873041856703
